,Country,State,City,StationName,Timestamp,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
0,USA,Pennsylvania,Avalon,Avalon,2021-08-21,15.21,58,PM2.5,,,,,
1,USA,Pennsylvania,Avalon,Avalon,2021-09-02,6.58,27,PM2.5,,,,,
2,USA,Pennsylvania,Avalon,Avalon,2021-09-21,9.5,39,PM2.5,,,,,
3,USA,Pennsylvania,Avalon,Avalon,2021-09-25,9.13,38,PM2.5,,,,,
4,USA,Pennsylvania,Avalon,Avalon,2021-10-02,16.38,60,PM2.5,,,,,
5,USA,Pennsylvania,Avalon,Avalon,2021-10-07,4.17,17,PM2.5,,,,,
6,USA,Pennsylvania,Avalon,Avalon,2021-10-08,6.0,25,PM2.5,,,,,
7,USA,Pennsylvania,Avalon,Avalon,2021-10-26,3.67,15,PM2.5,,,,,
8,USA,Pennsylvania,Avalon,Avalon,2021-11-14,5.17,21,PM2.5,,,,,
9,USA,Pennsylvania,Avalon,Avalon,2021-11-22,7.91,33,PM2.5,,,,,
10,USA,Pennsylvania,Avalon,Avalon,2021-11-28,11.57,48,PM2.5,,,,,
11,USA,Pennsylvania,Avalon,Avalon,2021-12-20,6.08,25,PM2.5,,,,,
12,USA,Pennsylvania,Avalon,Avalon,2021-12-24,6.25,26,PM2.5,,,,,
13,USA,Pennsylvania,Avalon,Avalon,2021-12-30,12.46,52,PM2.5,,,,,
14,USA,Pennsylvania,Avalon,Avalon,2022-01-09,9.96,41,PM2.5,,,,,
15,USA,Pennsylvania,Avalon,Avalon,2022-01-16,5.88,24,PM2.5,,,,,
16,USA,Pennsylvania,Avalon,Avalon,2022-01-19,9.65,40,PM2.5,,,,,
17,USA,Pennsylvania,Avalon,Avalon,2022-01-25,10.78,45,PM2.5,,,,,
18,USA,Pennsylvania,Avalon,Avalon,2022-02-16,14.29,56,PM2.5,,,,,
19,USA,Pennsylvania,Avalon,Avalon,2022-02-19,5.42,22,PM2.5,,,,,
