City,Date,meanAQI,quantile10,quantile90
Pittsburgh,12/15/15,30.65384615,19.5,43
Pittsburgh,1/15/16,44.76666667,27,67.1
Pittsburgh,2/15/16,40.29090909,26.8,57
Pittsburgh,3/15/16,41.15,24.9,59
Pittsburgh,4/15/16,37.78333333,28.9,49.2
Pittsburgh,5/15/16,41.87096774,27.2,58.9
Pittsburgh,6/15/16,45.28333333,29.9,62
Pittsburgh,7/15/16,44.30645161,30,58.9
Pittsburgh,8/15/16,39.88679245,28,50.6
Pittsburgh,9/15/16,39.27118644,20.8,58
Pittsburgh,10/15/16,33.16666667,18.9,46.3
Pittsburgh,11/15/16,51.45,28.9,67.2
Pittsburgh,12/15/16,44.75806452,27,61.9
Pittsburgh,1/15/17,48.09677419,22.1,73.8
Pittsburgh,2/15/17,48.6,32.2,62.6
Pittsburgh,3/15/17,43.03225806,27.1,59.9
Pittsburgh,4/15/17,35.05,25.9,52
Pittsburgh,5/15/17,32.56451613,24,46.9
Pittsburgh,6/15/17,36.75,21.8,54.1
Pittsburgh,7/15/17,40.27419355,27,56.9
Pittsburgh,8/15/17,46.22580645,28.1,59
Pittsburgh,9/15/17,39.5,19,61
Pittsburgh,10/15/17,37.9516129,24,56.7
Pittsburgh,11/15/17,35.16666667,21.9,52.1
Pittsburgh,12/15/17,44.43548387,24.1,68.7
Pittsburgh,1/15/18,41.14754098,24,59
Pittsburgh,2/15/18,35.84210526,19.6,56.2
Pittsburgh,3/15/18,31.74193548,25,44
Pittsburgh,4/15/18,35.88888889,24,53
Pittsburgh,5/15/18,48.72043011,32,67.6
Pittsburgh,6/15/18,51.25555556,34.8,69.1
Pittsburgh,7/15/18,51.28571429,33,67
Pittsburgh,8/15/18,51.82795699,35,69.8
Pittsburgh,9/15/18,34.24719101,18,54
Pittsburgh,10/15/18,34.55434783,19.1,53
Pittsburgh,11/15/18,40.1,23,64
Pittsburgh,12/15/18,45.54347826,25,66.9
Pittsburgh,1/15/19,43.55681818,27.7,59.3
Pittsburgh,2/15/19,44.44047619,24,65.7
Pittsburgh,3/15/19,45.56989247,25.2,63
Pittsburgh,4/15/19,40.74444444,24.9,58
Pittsburgh,5/15/19,40.68817204,23,57
Pittsburgh,6/15/19,42.82954545,25,61
Pittsburgh,7/15/19,49.91397849,34.2,62
Pittsburgh,8/15/19,42.89247312,26.4,56.8
Pittsburgh,9/15/19,43.16666667,25.9,59.2
Pittsburgh,10/15/19,35.67741935,21,55.8
Pittsburgh,11/15/19,43.35555556,23.9,66.1
Pittsburgh,12/15/19,50.04301075,25.4,79
Pittsburgh,1/15/20,38.24731183,23.2,57.8
Pittsburgh,2/15/20,38.24137931,22.6,56.4
Pittsburgh,3/15/20,36.47311828,23,53
Pittsburgh,4/15/20,31.7,17,47
Pittsburgh,5/15/20,26.68604651,12,43.5
Pittsburgh,6/15/20,35.38888889,23,49.1
Pittsburgh,7/15/20,45.05376344,30,59
Pittsburgh,8/15/20,38.82795699,22.2,56
Pittsburgh,9/15/20,37.04444444,20,58.2
Pittsburgh,10/15/20,34.55913978,17,54.8
Pittsburgh,11/15/20,44.82222222,23,67
Pittsburgh,12/15/20,39.06451613,17.2,65
Pittsburgh,1/15/21,42.97849462,25,64.6
Pittsburgh,2/15/21,47.38095238,28,71.7
Pittsburgh,3/15/21,36.92473118,21.2,60.6
Pittsburgh,4/15/21,40.63333333,24,60.1
Pittsburgh,5/15/21,38.86021505,20,62.8
Pittsburgh,6/15/21,46.82222222,28,64.1
Pittsburgh,7/15/21,57.97849462,30,95
Pittsburgh,8/15/21,53.44086022,31.2,71.8
Pittsburgh,9/15/21,36.98888889,16,56.1
Pittsburgh,10/15/21,30.64516129,11.4,56
Pittsburgh,11/15/21,32.53333333,11.6,60.3
Pittsburgh,12/15/21,36.67741935,17,60
Pittsburgh,1/15/22,36.01075269,11.2,59.8
Pittsburgh,2/15/22,34.17857143,10.6,60.8
Pittsburgh,3/15/22,28.44086022,1,56
Pittsburgh,4/15/22,21.13333333,0.9,41
Pittsburgh,5/15/22,26.15053763,1,56.8
Pittsburgh,6/15/22,30.88888889,0.9,61
Pittsburgh,7/15/22,39.83870968,2,62.6
Pittsburgh,8/15/22,37.52873563,15.4,57.4
