Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Avalon,Avalon,15.21,58,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.58,27,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,9.5,39,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,9.13,38,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,16.38,60,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,4.17,17,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,3.67,15,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,5.17,21,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.91,33,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,11.57,48,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.08,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.25,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,12.46,52,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,9.96,41,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,5.88,24,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,9.65,40,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,10.78,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,14.29,56,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,5.42,22,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.14,34,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.92,37,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,11,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.42,35,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,10.75,44,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.25,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,10.9,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.38,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.25,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,5.91,24,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,3.54,15,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.83,36,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.5,27,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,9.42,39,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.29,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,19.69,67,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.36,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.66,28,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.47,31,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.96,33,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.45,35,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,7.52,31,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,6.69,28,PM2.5,,,,,
